0.948,0.879,0.791,0.696,0.602,0.516,0.442,0.383,0.339,0.31
0.292,0.284,0.282,0.281,0.28,0.272,0.256,0.227,0.183,0.121
0.04,-0.062,-0.182,-0.318,-0.463,-0.609,-0.744,-0.859,-0.943,-0.99
-0.998,-0.97,-0.91,-0.829,-0.736,-0.641,-0.551,-0.471,-0.406,-0.356
-0.32,-0.298,-0.286,-0.282,-0.282,-0.281,-0.276,-0.264,-0.241,-0.204
-0.149,-0.076,0.017,0.13,0.26,0.402,0.549,0.69,0.814,0.912
0.975,1.0,0.986,0.938,0.865,0.776,0.68,0.587,0.503,0.431
0.375,0.333,0.306,0.29,0.283,0.282,0.281,0.279,0.27,0.252
0.221,0.174,0.109,0.024,-0.081,-0.204,-0.342,-0.488,-0.632,-0.765
-0.875,-0.954,-0.994,-0.996,-0.962,-0.898,-0.814,-0.72,-0.625,-0.537
-0.459,-0.396,-0.349,-0.316,-0.295,-0.285,-0.282,-0.282,-0.28,-0.275
-0.261,-0.236,-0.196,-0.138,-0.062,0.035,0.151,0.283,0.427,0.573
0.712,0.833,0.925,0.982,1.0,0.98,0.927,0.851,0.76,0.664
0.572,0.49,0.421,0.367,0.328,0.302,0.289,0.283,0.282,0.281
0.278,0.268,0.248,0.214,0.165,0.096,0.008,-0.1,-0.226,-0.366
-0.512,-0.656,-0.785,-0.891,-0.963,-0.997,-0.993,-0.953,-0.885,-0.799
-0.704,-0.61,-0.523,-0.448,-0.387,-0.342,-0.311,-0.293,-0.284,-0.282
-0.282,-0.28,-0.273,-0.258,-0.23,-0.187,-0.127,-0.047,0.053,0.172
0.307,0.451,0.597,0.734,0.851,0.938,0.988,0.999,0.973,0.916
0.836,0.744,0.648,0.558,0.477,0.411,0.359,0.323,0.299,0.287
0.282,0.282,0.281,0.277,0.265,0.243,0.207,0.154,0.083,-0.009
-0.12,-0.249,-0.391,-0.537,-0.679,-0.805,-0.906,-0.972,-0.999,-0.988
-0.943,-0.871,-0.783,-0.688,-0.594,-0.509,-0.436,-0.379,-0.336,-0.308
-0.291,-0.284,-0.282,-0.281,-0.279,-0.271,-0.254,-0.224,-0.179,-0.115
-0.032,0.072,0.194,0.331,0.476,0.621,0.755,0.868,0.949,0.993
0.997,0.965,0.904,0.821,0.728,0.633,0.543,0.465,0.401,0.352
0.318,0.297,0.286,0.282,0.282,0.281,0.276,0.263,0.238,0.2
0.144,0.069,-0.026,-0.141,-0.272,-0.415,-0.561,-0.701,-0.824,-0.919
-0.979,-1.0,-0.983,-0.933,-0.857,-0.767,-0.672,-0.579,-0.496,-0.426
-0.37,-0.33,-0.304,-0.289,-0.283,-0.282,-0.281,-0.278,-0.269,-0.25
